ID,Name,Category,Slot,Tags,Level,Description,Cost,School,Skill Total,Total Materials,Base Materials,Extra Materials,Base Item,Physical Resist,Fire Resist,Frost Resist,Brilliant Resist,Shadow Resist,Speed,Parry Defense,Dodge Defense,Bodily Defense,Mental Defense,Instinct Defense,Shallow Health,Deep Health,Accuracy,Damage,Weapon Defense,Range,Relevant Skill,Might Requirement,Held Slots
I075,Armory Gauntlets,Masterwork,Hands,,1,"Thick, unadorned iron gloves which are designed either for austerity or inconspicuousness depending on who is asked. Their simple appearance conceals a substantial utility, as the wearer of the Armory Gauntlets is never truly unarmed or defenseless.
For 0 AP the wielder can conjure a weapon made of shimmering force which appears in their hand. This can be any single weapon, including shields and the like. Only one weapon may be conjured at a time, although if the wielder has conjured a ranged weapon they may also conjure ammunition for it as part of an attack without counting against this limit. The wielder may dismiss any conjured weapon at any time.",,,,,"Bone, Metal, Wood",,,,,,,,,,,,,,,,,,,,,,
I076,Deft Gloves,Masterwork,Hands,,2,"Fingerless gloves made out of a thin, black leather and secured with small buckles, these manage to support and steady the wearer's hands while their magic helps them move carefully and gracefully.
The wearer of these gloves has Good Luck on Craft flips for working with small devices, such as locks and other mechanisms. These gloves also count as though they were tinker's tools, and the wearer does not need any extra equipment to work with small devices without penalty.",,,,,"Metal, Precious",,,,,,,,,,,,,,,,,,,,,,
I077,Mighty Mitts,Masterwork,Hands,,3,"Your hands (the ones wearing these) are as effective at destroying things, causing you to ignore any penalties to Might flips to break things without having a proper tool for smashing, prying, and so on. You also have Good Luck on Might flips to move or destroy things.
Once per day, the mitts can grant you a burst of strength. This takes 4AP to use, and allows you to make flips to move or destroy something as though you had spent a minute doing so.",,,,,"Fire, Brilliant",,,,,,,,,,,,,,,,,,,,,,
I078,Flamebinder's Promise,Masterwork,Ring,,1,"A ring of dull brass etched with black marks, embedded with burnt-colored jewels. These versatile and useful trinkets can only be created by a jeweler with a strong connection to the element of fire, and grant the wearer a measure of control over it.
Once per encounter, for 2 AP, the wearer may throw a ball of fire at a nearby creature. This is an Acrobatics attack against the Dodge Defense of a target within 5 meters, dealing 3 + [Mind] Fire damage.",,,,,Fire,,,,,,,,,,,,,,,,,,,,,,
I079,Focusing Band of [Technique],Masterwork,Ring,,1-5,"Coveted for their usefulness and rarity, these rings hold the skill and knowledge of their crafter. Through careful meditation and focus, the jeweler binds their ability into a small token that can be tapped into when worn, allowing another person - who might be entirely unfamiliar with the art - to replicate it.
When this ring is created, the creator chooses a Technique they know, which must be the same Level as this ring.
The wearer may discard a card at any time in order to “learn” the chosen Technique until they get a full night’s rest or take the ring off. During this time they are treated as though they know the Technique, or an extra copy of it if it’s an Encounter or Duplicate Technique.",,,,,Brilliant,,,,,,,,,,,,,,,,,,,,,,
I080,Tactician's Band,Masterwork,Ring,,1-5,"An austere, silver ring, etched with markings from battlemaps, warmage tomes, or other works that prominently feature tactical maneuvers and other strategies. The ring helps focus the wearer's thoughts, keeping their tactics one step ahead of any opponent.
This starts each day (after you get a full night’s rest) with [five times Level] charges. At any time, you may expend a charge, discard a card from your hand, and draw a card.",,,,,Brilliant,,,,,,,,,,,,,,,,,,,,,,
I081,Bloodshard Ring,Masterwork,Ring,,2,"A band made of twisted wire holding shards of bone and deep red gemstones. It is as favored by warmages and other arcanists who find themselves in combat situations as it is frowned upon by more academic, bookish sorts.
Before making a spell attack that deals damage, the wearer may spend X Health. If they do, the spell attack deals its damage as Fire, and deals an extra X damage. If the spell attack only has one target, then instead it deals an extra [twice X] damage.",,,,,"Bone, Fire",,,,,,,,,,,,,,,,,,,,,,
I082,Fate’s Grasp,Masterwork,Ring,,2,"Whenever you discard or play cards from your hand, after that effect is resolved, you may Sift up to that many cards.",,,,,Shadow,,,,,,,,,,,,,,,,,,,,,,
I083,Galeforce Loop,Masterwork,Ring,Subtle,1,"A winding ring of finely-carved wood, seeming wrapping a dozen times around the wearer's finger. The wearer seems to feel the breeze more strongly on their hand, and can cause the wind to suddenly swell at their command.
Once per encounter, the wearer may cause a strong gust of wind around themself. This gust does not blow in any particular direction, but blows around the area strongly enough to snuff out torches, scatter paper, disperse clouds of smoke, and so on. Though the effect is dramatic, there is no indication that the wearer is responsible for the wind.",,,,,Wood,,,,,,,,,,,,,,,,,,,,,,
I084,Heartbinding Band,Masterwork,Ring,,2,"A band of dull metal with soft, pink gemstones embedded in it which seem to pulse with a faint light.
The wearer may spend 1 AP, place their hand (the one with the ring) on an adjacent willing creature, and spend any amount of Health. That creature then heals that much Health.",,,,,Bone,,,,,,,,,,,,,,,,,,,,,,
I085,Poison Needle,Masterwork,Ring,,3,"A large ring of iron, covering an entire finger joint, and relatively unassuming at first glance. Hidden mechanisms allow the ring to store a dose of poison, which can be quickly applied to a weapon.
The wearer can spend a full minute to place a dose of poison inside the ring, where it can remain indefinitely. When the wearer declares an attack with a weapon, as an Interrupt for 0 AP they may apply the poison in the ring to that weapon.",,,,,Medicinal,,,,,,,,,,,,,,,,,,,,,,
I086,Flamefist's Approach,Masterwork,Ring,,4,"A deceptively simple ring that, upon further inspection, is finely-crafted gold and silver inlaid with rubies. The ring seems to attune the wearer's energies with ambient elemental energies, melding their martial arts and their war magics.
The ring has two powers:
If you hit a creature with a Brawl attack, you may cast a Sorcery Spell Technique as long as it targets at least one target of your Brawl attack and takes no more than 2 AP to use.
If you hit a creature with a Sorcery Spell attack and that creature is within [Meditation Skill Total] meters, you may Teleport into a space adjacent to the creature.
You may use each of these powers once per encounter. Additionally, you may discard a card to use either power regardless of the ring’s limit.",,,,,Fire,,,,,,,,,,,,,,,,,,,,,,
I087,Luminous Signet,Masterwork,Ring,,4,"A large golden ring, encrusted with jewels, fit for a leader, hero, or other inspiring figure.
Whenever you discard or play cards from your hand, all allies within 5 meters of you are each Hasted [cards discarded/played] times.",,,,,Brilliant,,,,,,,,,,,,,,,,,,,,,,
I088,Assassin's Undetectable Arms,Masterwork,Held,,1,"Tending towards the slender and unremarkable, these weapons have shadow worked into them and are crafted to avoid notice and search.
Regardless of its type or construction, some feature or enhancement of the weapon allows it to be concealed on your person. Furthermore, you have Good Luck on any flip to keep it hidden, and anyone attempting to search you for it or detect it has Bad Luck on the associated flip.",,,,,Shadow,,,,,,,,,,,,,,,,,,,,,,
I089,Bounty Hunter's Blade,Masterwork,Held,Implement,1,"Traditionally crafted as blunt weapons, contrary to the name, these arms are designed to focus the force and energy of their blows across a wide area. As a result, they are largely unable to deal lethal blows to enemies, instead exhausting them and beating them into submission.
Non-lethal attacks with this don't have Bad Luck.",,,,,Bone,,,,,,,,,,,,,,,,,,,,,,
I090,Battering Armament,Masterwork,Held,Implement,1,"Thick and heavy, with ram motifs etched along many surfaces. Weapons crafted in this style are heavier than they appear - which is rather heavy - and difficult to block or knock aside.
When an attack with this weapon hits or is Parried, the target is Pushed 1 meter in a direction of your choice.",,,,,Metal,,,,,,,,,,,,,,,,,,,,,,
I091,Eager Armament,Masterwork,Held,,1,"An uncommon style of weapon, although very favored by travelers and those who prefer to appear unarmed. Designed so that, no matter where one keeps it, the weapon is easy to grab.
Drawing the weapon from any location within reach only takes 0 AP.",,,,,Wood,,,,,,,,,,,,,,,,,,,,,,
I092,Fatestealer,Masterwork,Held,Implement,1-5,"Grim motifs decorate this weapon that, through magic or craftsmanship, somehow guides its wielder to become more deft as the battle rages on. A series of runes run along the blade, head, or other prominent part of the weapon, glowing with increasing intensity the more the wielder battles.
When an attack with this weapon Downs a creature, that creature is instantly killed and the weapon gains up to [enhancement's Level] charges.
The weapon may not have more than 5 charges at any time, and when the wielder gets a full night’s rest all charges are lost.
At any time, the wielder may spend charges on the following:
For 1 charge, the wielder may Sift 2 cards
For 3 charges, the wielder may draw a card",,,,,Shadow,,,,,,,,,,,,,,,,,,,,,,
I093,Reaching Weapon,Masterwork,Held,Implement,1-5,"Master smiths can craft weapons that are reinforced or otherwise constructed to feature an unparalleled length without breaking or proving too unwieldy. Sometimes this is a matter of superior craftsmanship, sometimes it is due to specialized materials or imbuing the weapon with magic, but no matter the method the weapons defy normal conventions of combat to strike far beyond normal reach.
Attacks made with this weapon have their Range increased by [this power's Level], as do abilities used with it.
For abilities that are not ranged normally, the wielder may choose any point within [this power's Level] meters of themself to be their location for the purposes of determining the ability's targets or area of effect.",,,,,Wood,,,,,,,,,,,,,,,,,,,,,,
I094,Venomous Weapon,Masterwork,Held,Implement,1-5,"A favorite of assassins and cunning killers of all stripes, these weapons are as dangerous as they are prized. Crafted with grooves along the blade or other striking surface of the weapon to allow poison to quickly streak down the weapon, or onto ammunition if the weapon is a bow or similar armament.
When created, a Basic Poison is chosen, with a Concentration of +[3 + X] and a Potency of X, where X is the enhancement’s Level. The first time each encounter that a weapon attack or ability using this as an Implement causes a target to lose Health or gain stacks of Bleeding, they expose it to this poison.",,,,,Medicinal,,,,,,,,,,,,,,,,,,,,,,
I095,Grim Promise,Masterwork,Held,Implement,2,"Adorned with bone and faint inscriptions, traditionally these weapons were carried by certain tribal warriors into battles they believed they would not survive. Why carry them, then? To make sure their enemies died first.
When attacking or parrying with this weapon, the wielder ignores any penalties from being Wounded or Crippled.",,,,,Bone,,,,,,,,,,,,,,,,,,,,,,
I096,Sorcerer's Bow,Masterwork,Held,,2,"This bow is extremely durable despite seeming thin and fragile, with a strange construction that lacks any kind of bow string. When the wielder concentrates and channels magical energy, gemstones along the bow trace a glittering pattern as a string of pure light is created, allowing the wielder to shoot arrows of magical force from it.
This weapon uses Sorcery as its relevant Skill, deals damage based on the wielder’s Mind instead of Cunning, and has a Might Skill Total requirement of 3.",,,,,"Fire, Frost, Brilliant, or Shadow",,,,,,,,,,,,,,,,,,,,,,
I097,Weapon of Sending,Masterwork,Held,,2,"A bizarre enhancement in which a weapon is created in such a manner that it can be thrown with moderate accuracy, then returns to the wielder.
This weapon can be thrown as an Acrobatics attack, with Range 3 × [Body]. When the weapon is thrown as part of an attack, at the start of your next turn the weapon returns to your hand.",,,,,Wood,,,,,,,,,,,,,,,,,,,,,,
I098,Claw of Mortality,Masterwork,Held,Implement,3,"Usually crafted as daggers and ritual knives, or occasionally other edged weapons that employ black, glassy stone and similar natural materials. Creating an imbalance of spiritual energies, magic channeled through the claw tears away at the victim's life force.
When an attack with this weapon hits, before any damage or other effects are applied, the target gains 2 stacks of Necrotic. Non-weapon attacks made through this deal their damage as Shadow.",,,,,Shadow,,,,,,,,,,,,,,,,,,,,,,
I099,Claw of Rime,Masterwork,Held,Implement,3,"When an attack with this weapon hits, before any damage or other effects are applied, the target is Slowed once. Non-weapon attacks made through this deal their damage as Frost.",,,,,Frost,,,,,,,,,,,,,,,,,,,,,,
I100,Conflagration Brand,Masterwork,Held,Implement,3,"A staff of charred wood or blade of blackened metal, twisting magical energy into pure, explosive, elemental force. Attacks from this cruel weapon blister and crack where they strike, causing even greater damage to their victims.
When an attack with this weapon hits, before any damage or other effects are applied, the target gains a stack of Bleeding. Non-weapon attacks made through this deal their damage as Fire.",,,,,Fire,,,,,,,,,,,,,,,,,,,,,,
I101,Elemental-Forged Weaponry,Masterwork,Held,Implement,3 or 4,"Often etched with runes of power or augmented with some material to make them more magically conductive, these weapons convert part of each attack made with them into the enchantment's corresponding element. These weapons usually give distinct visual cues that their enchantments are in effect, as a flaming sword might have gouts of flame leap off the blade with each attack and a shadowed axe might have the blade wreathed in darkness.
When the weapon is made, Fire is chosen; if the enhancement is Level 4, Frost, Brilliant, or Shadow may be chosen instead.
Attacks with this weapon deal their damage as that type, instead of their usual type.",,,,,[Chosen element type],,,,,,,,,,,,,,,,,,,,,,
I102,Fanged Guard,Masterwork,Held,,3,"Weapons and shields designed for parrying and blocking, frequently styled with spikes, thorns, barbs.
When the weapon is used to successfully Parry an attack from an adjacent creature, that creature gains a stack of Bleeding.",,,,,Bone,,,,,,,,,,,,,,,,,,,,,,
I103,Thrumming Focus,Masterwork,Held,Implement,4,"A weapon gently trembling with power; by focusing, the wielder can draw this power out and use it to strike true.
The wielder may spend an extra 1 AP for any action involving an attack with this weapon. If they do, any such attack has Good Luck.",,,,,Brilliant,,,,,,,,,,,,,,,,,,,,,,
I104,Apocalyptic Staff,Masterwork,Held,,5,"Etched with a series of runes, appearing crude to the untrained eye but done in a manner to tap into chaotic energies and direct them in wild and unpredictable ways.
Once per encounter, the wielder may choose a version of the Elementalist's Artillery (Level 4) battle magic Technique, selecting any features as though they were learning the Spell, and cast it as though they knew it.",,,,,"Fire, Frost, and Shadow",,,,,,,,,,,,,,,,,,,,,,
I105,Sash of Deep Pockets,Masterwork,Belt,,2,"A subtle and minimal-looking sash, concealing a dozen small pockets in its folds. Surprisingly, these pockets can hold much larger objects than a belt pouch normally would.
Each of the sash’s 12 pouches can hold one object at a time, and as long as an object is no larger than 1 meter in any dimension it can be stored in a pouch, distorting as it slips away into the small opening. Items are stored and retrieved from pouches as though it were an easily-accessible location. While stored items are weightless and cannot be damaged, and if the sash is destroyed the items tumble out of it, unharmed.",,,,,Shadow,,,,,,,,,,,,,,,,,,,,,,
I106,Smuggler’s Belt,Masterwork,Belt,Subtle,2,"A worn, simple, common-looking belt.
The belt has 5 visible pouches, each of which is an easily-accessible container that can hold a small object such as a Potion, vial of Poison, or Grenade.
The secret of the belt is that each pouch actually has two separate compartments within the belt, only one of which can be seen at a time. The wearer may manipulate the belt to determine which compartment is visible, which is a completely Subtle action that no onlookers will notice. Anyone who is not familiar with the specific belt will automatically fail any attempt to discover the non-visible compartments.",,,,,Shadow,,,,,,,,,,,,,,,,,,,,,,
I107,Cobblestone Boots,Masterwork,Feet,,1,"A thick, sturdy pair of boots with soles and heels made entirely of rough-hewn rock, although they are surprisingly comfortable and easy to wear in all terrains. When the wearer wades into a body of water, however, their legs move with no resistance from the water.
The wearer may move with no penalty underwater, at their full Speed, but the wearer is unaffected by any sort of buoyancy and walks along the floor of whatever body of water, moving simply as though the water were not there. Any other complications of being underwater, such as penalties to using weapons underwater or being unable to breathe underwater, are not mitigated by these boots and affect the wearer normally.",,,,,Metal,,,,,,,,,,,,,,,,,,,,,,
I108,Feathered Sandals,Masterwork,Feet,,1,"A breathtaking number of soft, smooth feathers (or materials patterned as such) are stitched into the sides of these soft sandals. The wearer feels a subtle lightness from their feet, as though they could jump from a balcony and float to the ground like a piece of parchment.
The wearer automatically succeeds on flips to avoid damage when falling 10 meters or less, suffering no damage or other penalty.",,,,,Wood,,,,,,,,,,,,,,,,,,,,,,
I109,Lightfoot Shoes,Masterwork,Feet,,1-5,"Ubiquitous across all peoples who weave magical power into items, these shoes come in virtually all shapes, sizes, designs, and materials. As such identifying these shoes at a glance is nearly impossible, although any exceptional footwear stand a good chance of having this enchantment.
These footwear give a +[enhancement's Level] bonus to Speed while worn.",,,,,Fire,,,,,,,,[Level],,,,,,,,,,,,,,
I110,Slipstream Sandals,Masterwork,Feet,,2,"Lightweight shoes woven with threads of silver and etched with runes that reach out to nearby magical currents, the subtle enchantment is nonetheless very useful and valued by experienced adventurers.
Once per encounter, for 0 AP, the boots allow the wearer to Teleport 3 meters.",,,,,Shadow,,,,,,,,,,,,,,,,,,,,,,
I111,Vaulting Boots,Masterwork,Feet,,3,"Usually crafted as a light pair of leather boots with supple soles, these boots are widely used by all manner of adventurous individuals for their simple yet useful enchantment.
Once per encounter you may spend 1 AP to make a jump, without requiring a running start or a flip, up to 10 meters in any direction, and if you fall as part of the jump you ignore up to 10 meters of distance for the purpose of determining the difficulty of the Acrobatics flip to avoid falling damage.",,,,,Wood,,,,,,,,,,,,,,,,,,,,,,
I112,Greaves of the Stalwart Guardian,Masterwork,Feet,,5,"Appearing to be crude iron boots, heavy and awkward, the greaves feel as light as sandals and don’t encumber the wearer at all. Rather, when worn, they impart an unshakable sense of stability and steadfastness.
You cannot be unwillingly knocked over, Pushed, Shifted, Teleported, or otherwise moved unless they wish to be. Additionally, you ignore up to 3 degrees of Difficult Terrain at all times.
This item starts each encounter with 5 charges. When you would gain a stack of Slowed, you may expend a charge from this and instead you don’t gain that stack.",,,,,Metal and Bone,,,,,,,,,,,,,,,,,,,,,,
I113,Evertoking Bottle,Masterwork,Other,,1,"A detailed metal carafe topped by a jeweled cap, fastened to the bottle by a fine chain. Through glass or jewels on the bottle one can occasionally see a faint haze moving within, as though smoke billowed about inside the bottle. When the cap is removed the bottle produces an endless supply of faintly herbal smoke, as a hookah or other water pipe that is being actively stoked.
For 1 AP the holder can remove the cap and cause the bottle to produce a cloud of smoke in a 2-meter-radius circle centered on the holder. This smoke provides Light Cover to anything in its area, or for the targets of any attacks made by someone in the area. The smoke hangs in the air for the encounter or until dispersed by a strong wind. The bottle can only produce one cloud per encounter.
If a creature that ends their turn in the cloud, make an attack with a bonus of +6 against their Vital Defense. If it hits, they gain the following based on the suit of the card flipped for the attack:
Spade: 2 stacks of Necrotic
Club: 1 stack of Vulnerable
Diamond: 1 stack of Slowed
Hearts: 1 stack of Crippled",,Jewelrymaking,,,"Shadow, Precious, Medicinal, Fire",,,,,,,,,,,,,,,,,,,,,,
I114,Distant Scroll Cases,Masterwork,Other,,2,"A finely-made cylindrical case of horn, wood, or the like and immaculately engraved with a series of runes and glyphs, these cases usually come with a sturdy carrying strap and a lid that clasps firmly onto the opening of the case. Inside the case has room for a large sheaf of papers to be rolled and secured.
These cases are always produced in identical pairs, and have the wondrous property that they share the space inside of them, allowing documents or small objects placed in one case to be retrievable from the other case. However, if one case is open the lid on its matching case will not open.",,Carving,,,"Wood or Bone, Leather, Shadow",,,,,,,,,,,,,,,,,,,,,,
I115,Placeholder's Spacious Satchel,Masterwork,Other,,3,"An otherwise normal-looking leather satchel with a series of golden runes woven around the mouth of the bag, its only purpose is to make travel and adventuring easier by holding as much as it can. The inside of the bag looks to be made completely of shadow, but in reality the bag's enchantment causes any item placed within it to be shrunken down to a tiny size and placed in magical stasis.
Any object can be stored in the bag, although it must fit within the mouth of the satchel - a little larger than most people's heads - and the bag can hold 100 cubic meters (the size of a modest closet) worth of stuff. The bag is always treated as an easily-accessible location. No items will fall out of the bag if it is upended, although there is a specific method that will cause the bag to empty out all items inside of it in a heap on the ground.",,Tailoring,,,"Cloth or Leather, Shadow","Metal, Precious",,,,,,,,,,,,,,,,,,,,,
I116,Spirit Quest Ointment,Masterwork,Other,,3,"A strange and useful concoction, this ointment is infused with a strong yet balanced degree of both positive and negative spiritual elements. Similar tinctures have been used by many cultures for meditations and spirit quests, and through the refinement of recipes used in many traditions this ointment is accepted among modern alchemists as the most powerful and effective version. Through a lengthy ritual application of the ointment, a person can examine and even repair deeper levels of their spirit, tending to their supernatural well-being as though a small garden or sculpture.
The ointment is applied painstakingly and the recipient must engage in a long meditation, the full process taking 24 hours which must be uninterrupted or the item is wasted without effect. If the process is completed, the user may completely reassign all of their Experience, then benefits from a full night’s rest.",15 Gold,Alchemy,,15,"Brilliant, Shadow, Medicinal",,,,,,,,,,,,,,,,,,,,,,
I117,Light One-Handed Melee Weapon,Weapon,Held,,,"A light, one-handed melee weapon — a dagger, hand axe, rapier, or similar; pick whatever fits your character.",3 Gold,,,,,,,,,,,,,,,,,,,,1,3 + [Body or Cunning],1,Close,Melee,,1
I118,Heavy One-Handed Melee Weapon,Weapon,Held,,,"A heavier one-handed melee weapon — a mace, shortsword, or similar; pick whatever fits your character.",3 Gold,,,,,,,,,,,,,,,,,,,,0,4 + [Body],0,Close,Melee,4,1
I119,Light Two-Handed Melee Weapon,Weapon,Held,,,"A light, two-handed melee weapon — a spear, quarterstaff, or similar; pick whatever fits your character.",6 Gold,,,,,,,,,,,,,,,,,,,,1,4 + [Body or Cunning],1,Close,Melee,,2
I120,Heavy Two-Handed Melee Weapon,Weapon,Held,,,"A heavy two-handed melee weapon — a greatsword, war hammer, or similar; pick whatever fits your character.",6 Gold,,,,,,,,,,,,,,,,,,,,0,5 + [Body],0,Close,Melee,6,2
I121,Light Thrown Weapon,Weapon,Held,,,"A light thrown weapon — throwing knives, darts, or similar. Only has a Range of Close when used with Melee.",5 Gold,,,,,,,,,,,,,,,,,,,,1,3 + [Cunning],,"Close, or 3 × Body",Acrobatics or Melee,,1
I122,Heavy Thrown Weapon,Weapon,Held,,,"A heavy thrown weapon — a javelin, hand axe meant for throwing, or similar. Only has a Range of Close when used with Melee.",5 Gold,,,,,,,,,,,,,,,,,,,,0,4 + [Body],,"Close, or 3 × Body",Acrobatics or Melee,4,1
I123,Light Bow,Weapon,Held,,,"A light bow, requiring two hands to wield.",6 Gold,,,,,,,,,,,,,,,,,,,,1,3 + [Cunning],,15,Archery,,2
I124,Heavy Bow,Weapon,Held,,,"A heavy bow, requiring two hands to wield.",6 Gold,,,,,,,,,,,,,,,,,,,,0,4 + [Cunning],,20,Archery,6,2
I125,Unarmed,Weapon,,,,"Fighting with fists, claws, or whatever's on hand — no weapon required, and doesn't occupy a Held slot.",,,,,,,,,,,,,,,,,,,,,2,2 + [Body or Cunning],1,Close,Brawl,,
I126,Shield,Weapon,Held,,,"A shield, occupying one Held slot — used for its high Defense bonus rather than to deal damage.",3 Gold,,,,,,,,,,,,,,,,,,,,0,2 + [Body],2,Close,Melee,,1
I127,Improvised Weapon,Weapon,Held,,,"Whatever's within reach, used as a weapon. Counts as the closest type of weapon that fits its size and construction, with the listed modifications.",,,,,,,,,,,,,,,,,,,,,-1,+0,-1,"Close, or half of normal",Varies,,1
I128,Light Armor,Armor,Torso,,,"Light armor — a gambeson or jacket reinforced with small pieces of wood, or similar.",4 Gold,,,,,,,1,,,,,0,,0,,,,,,,,,,,3,
I129,Heavy Armor,Armor,Torso,,,"Heavy armor — made from plate or heavy chains of metal, or similar.",8 Gold,,,,,,,2,,,,,-1,,-1,,,,,,,,,,,6,
